state,year,quarter,name,count,amount
arunachal-pradesh,2020,2,Recharge & bill payments,522495,145198528.23
arunachal-pradesh,2020,2,Peer-to-peer payments,247861,1630654426.04
arunachal-pradesh,2020,2,Merchant payments,35169,46446966.61
arunachal-pradesh,2020,2,Financial Services,1310,2655507.7
arunachal-pradesh,2020,2,Others,1939,1761404.4
arunachal-pradesh,2020,3,Recharge & bill payments,514907,153463816.21
arunachal-pradesh,2020,3,Peer-to-peer payments,370418,2361603431.38
arunachal-pradesh,2020,3,Merchant payments,72736,88145178.69
arunachal-pradesh,2020,3,Financial Services,1761,4030599.92
arunachal-pradesh,2020,3,Others,3005,2695539.36
arunachal-pradesh,2020,4,Peer-to-peer payments,522019,3254744938.41
arunachal-pradesh,2020,4,Recharge & bill payments,513895,152389181.22
arunachal-pradesh,2020,4,Merchant payments,167387,156682926.02
arunachal-pradesh,2020,4,Financial Services,1749,2391651.88
arunachal-pradesh,2020,4,Others,4079,4055324.32
arunachal-pradesh,2021,1,Peer-to-peer payments,566209,3460488558.94
arunachal-pradesh,2021,1,Recharge & bill payments,450649,142358376.9
arunachal-pradesh,2021,1,Merchant payments,155966,204958020.09
arunachal-pradesh,2021,1,Financial Services,1558,2672460.47
arunachal-pradesh,2021,1,Others,3074,3301662.61
arunachal-pradesh,2021,2,Peer-to-peer payments,762946,4000960152.08
arunachal-pradesh,2021,2,Recharge & bill payments,556680,165579844.25
arunachal-pradesh,2021,2,Merchant payments,243375,283709438.54
arunachal-pradesh,2021,2,Financial Services,1582,2761076.79
arunachal-pradesh,2021,2,Others,3755,3415105.34
arunachal-pradesh,2021,3,Peer-to-peer payments,986088,5033603845.03
arunachal-pradesh,2021,3,Recharge & bill payments,600102,187390578.3
arunachal-pradesh,2021,3,Merchant payments,314658,449869060.78
arunachal-pradesh,2021,3,Financial Services,1934,3348547.83
arunachal-pradesh,2021,3,Others,4185,3912143.35
arunachal-pradesh,2021,4,Peer-to-peer payments,1227616,6022733378.12
arunachal-pradesh,2021,4,Recharge & bill payments,633248,207784816.33
arunachal-pradesh,2021,4,Merchant payments,521447,704195694.99
arunachal-pradesh,2021,4,Financial Services,2386,3933557.28
arunachal-pradesh,2021,4,Others,5901,4862905.89
arunachal-pradesh,2022,1,Peer-to-peer payments,1403584,6670641250.46
arunachal-pradesh,2022,1,Merchant payments,720803,917155358.72
arunachal-pradesh,2022,1,Recharge & bill payments,670576,231933129.0
arunachal-pradesh,2022,1,Financial Services,3053,3359625.79
arunachal-pradesh,2022,1,Others,6052,5002264.11
arunachal-pradesh,2022,2,Peer-to-peer payments,1751568,7627061474.69
arunachal-pradesh,2022,2,Merchant payments,1108353,1255513517.36
arunachal-pradesh,2022,2,Recharge & bill payments,688770,241162643.19
arunachal-pradesh,2022,2,Financial Services,2466,4063469.1
arunachal-pradesh,2022,2,Others,5768,3864269.88
arunachal-pradesh,2022,3,Peer-to-peer payments,1967086,7365427284.27
arunachal-pradesh,2022,3,Merchant payments,1316326,1413247143.49
arunachal-pradesh,2022,3,Recharge & bill payments,649322,238448083.81
arunachal-pradesh,2022,3,Financial Services,1997,4763324.78
arunachal-pradesh,2022,3,Others,4687,3224948.7
arunachal-pradesh,2022,4,Peer-to-peer payments,2251135,7768088687.68
arunachal-pradesh,2022,4,Merchant payments,1704968,1669602212.92
arunachal-pradesh,2022,4,Recharge & bill payments,669151,239412553.61
arunachal-pradesh,2022,4,Financial Services,2617,3785469.4
arunachal-pradesh,2022,4,Others,4838,4020773.9
arunachal-pradesh,2023,1,Peer-to-peer payments,3879583,13170741327.0
arunachal-pradesh,2023,1,Merchant payments,2922784,2802762028.0
arunachal-pradesh,2023,1,Recharge & bill payments,1229475,409663161.0
arunachal-pradesh,2023,1,Financial Services,4142,6310412.0
arunachal-pradesh,2023,1,Others,6841,5101526.0
